id,id1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
11,186,6.38787E+18,1.23767E+18,21.04828072,20.32704163,20.33411217,20.3886013,20.13736343,0.115187012,0.089752942,0.062090669,0.046140019,0.034319699,20.71759224,21.47326851,1,0.743464589,-0.330688477,0.390550613,0.383480072,0.328990936,0.580228806,0.72123909,0.714168549,0.659679413,0.910917282,-0.007070541,-0.061559677,0.189678192,-0.054489136,0.196748734,0.251237869,-0.75567627,-0.424987793,-1.146226883,-1.139156342,-1.084667206,-1.335905075,1
12,197,6.38787E+18,1.23767E+18,20.45127296,20.15663147,20.09388924,19.89426613,19.80324173,0.105338678,0.082079187,0.056782,0.042195112,0.031385411,21.28826141,21.47190475,1,1.587823033,0.836988449,1.131629944,1.194372177,1.393995285,1.485019684,0.294641495,0.357383728,0.557006836,0.648031235,0.062742233,0.262365341,0.35338974,0.199623108,0.290647507,0.091024399,-0.183643341,-1.02063179,-1.315273285,-1.378015518,-1.577638626,-1.668663025,1
13,198,6.38787E+18,1.23767E+18,20.37792206,20.18664932,19.92738914,19.92867661,19.89960289,0.1124359,0.087609291,0.060607705,0.045038018,0.033500012,20.90153313,21.4902401,1,1.134318471,0.523611069,0.714883804,0.974143982,0.972856522,1.001930237,0.191272736,0.450532913,0.449245453,0.478319168,0.259260178,0.257972717,0.287046432,-0.00128746,0.027786255,0.029073715,-0.58870697,-1.112318039,-1.303590775,-1.562850952,-1.561563492,-1.590637207,1
14,220,3.05612E+18,1.23767E+18,21.08687782,20.42852592,20.07156372,19.7597332,19.6577549,0.140539095,0.109507106,0.075756513,0.056295205,0.041873291,22.10648346,23.54187012,1,1.521255255,1.019605637,1.677957535,2.034919739,2.346750259,2.448728561,0.658351898,1.015314102,1.327144623,1.429122925,0.356962204,0.668792725,0.770771027,0.311830521,0.413808823,0.101978302,-1.435386658,-2.454992294,-3.113344193,-3.470306396,-3.782136917,-3.884115219,1
15,237,6.37482E+18,1.23767E+18,21.81346703,21.26230431,21.16982841,21.07427216,20.65333366,0.07857807,0.0612275,0.042356901,0.031475719,0.023412151,21.58467484,22.58700943,1,0.747793674,-0.228792191,0.322370529,0.41484642,0.510402679,0.931341171,0.55116272,0.643638611,0.73919487,1.160133362,0.092475891,0.18803215,0.608970642,0.095556259,0.516494751,0.420938492,-1.002334595,-0.773542404,-1.324705124,-1.417181015,-1.512737274,-1.933675766,1
16,238,6.37482E+18,1.23767E+18,21.19779968,20.6849556,20.06624031,19.79875183,19.52163887,0.077903964,0.060702242,0.041993529,0.031205693,0.023211302,21.49690628,21.85824776,1,1.044244885,0.299106598,0.811950684,1.43066597,1.698154449,1.97526741,0.512844086,1.131559372,1.399047852,1.676160812,0.618715286,0.886203766,1.163316727,0.26748848,0.54460144,0.277112961,-0.361341476,-0.660448074,-1.17329216,-1.792007446,-2.059495926,-2.336608887,1
17,248,6.37482E+18,1.23767E+18,20.12520409,19.7612896,19.75821114,19.73757172,19.64183998,0.093343958,0.072732978,0.050316337,0.037390433,0.027811611,20.81706047,21.81013107,1,0.686890423,0.691856384,1.055770874,1.058849335,1.079488754,1.17522049,0.36391449,0.36699295,0.38763237,0.483364105,0.003078461,0.02371788,0.119449615,0.02063942,0.116371155,0.095731735,-0.993070602,-1.684926987,-2.048841476,-2.051919937,-2.072559357,-2.168291092,1
18,251,6.37482E+18,1.23767E+18,20.57078362,20.14657021,20.11868858,19.81353951,19.59494972,0.095953785,0.074766539,0.051723149,0.038435843,0.028589204,20.14471054,21.64206505,1,0.592819273,-0.426073074,-0.001859665,0.026021957,0.331171036,0.549760818,0.424213409,0.452095032,0.75724411,0.975833893,0.027881622,0.333030701,0.551620483,0.305149078,0.523738861,0.218589783,-1.497354507,-1.071281433,-1.495494843,-1.523376465,-1.828525543,-2.047115326,1
19,259,6.37482E+18,1.23767E+18,19.80579185,19.76114845,20.14154053,20.36834145,20.82361984,0.080150642,0.062452838,0.043204583,0.032105636,0.023880696,19.26728439,19.44674873,0,-0.000117405,-0.538507462,-0.493864059,-0.874256134,-1.101057053,-1.556335449,0.044643402,-0.335748672,-0.562549591,-1.017827988,-0.380392075,-0.607192993,-1.06247139,-0.226800919,-0.682079315,-0.455278397,-0.17946434,0.359043121,0.314399719,0.694791794,0.921592712,1.376871109,0
20,278,6.37486E+18,1.23767E+18,20.13998795,19.49066925,18.60928726,18.15714073,17.97932243,0.08516755,0.066361979,0.045908909,0.03411524,0.025375471,21.25301933,21.71637154,1,0.175286546,1.113031387,1.762350082,2.643732071,3.095878601,3.273696899,0.649318695,1.530700684,1.982847214,2.160665512,0.881381989,1.333528519,1.511346817,0.45214653,0.629964828,0.177818298,-0.463352203,-1.576383591,-2.225702286,-3.107084274,-3.559230804,-3.737049103,1
