id,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
11,2.54E+18,1.24E+18,20.84655952,20.18860054,19.87095642,19.55519676,19.63760376,0.042651754,0.033233959,0.022991098,0.01708485,0.01270799,22.76729202,23.13951874,1,1.708311319,1.920732498,2.578691483,2.896335602,3.212095261,3.129688263,0.657958984,0.975603104,1.291362762,1.208955765,0.317644119,0.633403778,0.55099678,0.315759659,0.233352661,-0.082406998,-0.372226715,-2.292959213,-2.950918198,-3.268562317,-3.584321976,-3.501914978,1
12,2.54E+18,1.24E+18,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,1,0.431996524,1.168739319,2.085170746,3.459392548,4.321027756,4.657052994,0.916431427,2.290653229,3.152288437,3.488313675,1.374221802,2.23585701,2.571882248,0.861635208,1.197660446,0.336025238,-0.611444473,-1.780183792,-2.696615219,-4.070837021,-4.932472229,-5.268497467,1
13,2.54E+18,1.24E+18,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,1,0.43200013,1.168739319,2.085170746,3.459392548,4.321027756,4.657052994,0.916431427,2.290653229,3.152288437,3.488313675,1.374221802,2.23585701,2.571882248,0.861635208,1.197660446,0.336025238,-0.611444473,-1.780183792,-2.696615219,-4.070837021,-4.932472229,-5.268497467,1
14,2.54E+18,1.24E+18,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,1,0.431996524,1.168739319,2.085170746,3.459392548,4.321027756,4.657052994,0.916431427,2.290653229,3.152288437,3.488313675,1.374221802,2.23585701,2.571882248,0.861635208,1.197660446,0.336025238,-0.611444473,-1.780183792,-2.696615219,-4.070837021,-4.932472229,-5.268497467,1
15,2.54E+18,1.24E+18,21.88749886,20.97106743,19.59684563,18.73521042,18.39918518,0.051762111,0.040332686,0.027901964,0.02073415,0.015422398,23.05623817,23.66768265,1,0.43200013,1.168739319,2.085170746,3.459392548,4.321027756,4.657052994,0.916431427,2.290653229,3.152288437,3.488313675,1.374221802,2.23585701,2.571882248,0.861635208,1.197660446,0.336025238,-0.611444473,-1.780183792,-2.696615219,-4.070837021,-4.932472229,-5.268497467,1
16,2.54E+18,1.24E+18,21.18827438,20.35566521,20.58232498,20.50654411,20.16918373,0.040562019,0.03160565,0.021864643,0.016247774,0.012085359,23.01512337,23.7810154,1,2.368856192,1.826848984,2.65945816,2.432798386,2.508579254,2.845939636,0.832609177,0.605949402,0.68173027,1.019090652,-0.226659775,-0.150878906,0.186481476,0.075780869,0.413141251,0.337360382,-0.765892029,-2.592741013,-3.425350189,-3.198690414,-3.274471283,-3.611831665,1
17,2.59E+18,1.24E+18,21.00229263,20.62702942,20.51280975,20.46654892,20.30480385,0.063900344,0.049790718,0.034444988,0.025596317,0.019038957,23.4409008,24.19688416,1,2.182240963,2.43860817,2.813871384,2.928091049,2.974351883,3.136096954,0.375263214,0.48948288,0.535743713,0.697488785,0.114219666,0.160480499,0.322225571,0.046260834,0.208005905,0.161745071,-0.755983353,-3.194591522,-3.569854736,-3.684074402,-3.730335236,-3.892080307,1
18,3.05E+18,1.24E+18,22.40741348,21.63850975,21.62194824,21.80425453,22.08614922,0.058448985,0.045543056,0.031506475,0.023412688,0.017414737,24.47066879,24.1138401,1,2.142749071,2.06325531,2.832159042,2.848720551,2.666414261,2.384519577,0.768903732,0.78546524,0.603158951,0.321264267,0.016561508,-0.165744781,-0.447639465,-0.18230629,-0.464200974,-0.281894684,0.35682869,-1.70642662,-2.475330353,-2.491891861,-2.309585571,-2.027690887,0
19,3.05E+18,1.24E+18,20.39748192,20.00970268,20.07239532,20.14856529,19.82361412,0.05264743,0.041022521,0.028379189,0.021088779,0.015686177,21.25942039,22.28778839,1,2.343382359,0.861938477,1.249717712,1.18702507,1.110855103,1.435806274,0.387779236,0.325086594,0.248916626,0.573867798,-0.062692642,-0.13886261,0.186088562,-0.076169968,0.248781204,0.324951172,-1.028367996,-1.890306473,-2.278085709,-2.215393066,-2.139223099,-2.464174271,1
20,3.06E+18,1.24E+18,21.83893967,21.4914341,21.60743523,21.64108276,21.78884315,0.048706383,0.037951682,0.026254799,0.019510129,0.014511952,22.84324646,23.42148972,1,2.24113822,1.004306793,1.351812363,1.235811234,1.202163696,1.054403305,0.347505569,0.23150444,0.197856903,0.050096512,-0.116001129,-0.149648666,-0.297409058,-0.033647537,-0.181407928,-0.147760391,-0.578243256,-1.582550049,-1.930055618,-1.814054489,-1.780406952,-1.632646561,0
